Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pet,Probability,Prediction
0,0,0,1,7,289,33,30,0,2,1,0.5949106170156699,1
0,0,0,0,7,118,50,31,0,1,0,0.07441392142215732,0
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
1,0,0,0,7,279,39,24,0,2,0,0.8717479819062697,1
0,0,0,1,7,289,33,30,0,2,1,0.5949106170156699,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
0,0,0,1,7,361,28,27,0,1,4,0.49273282566361176,0
0,0,0,1,7,260,36,23,0,4,0,0.6064112550143049,1
0,0,1,0,7,155,34,25,0,2,0,0.7810279887768267,1
0,0,0,1,7,235,37,29,1,1,1,0.29640101335988095,0
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,179,38,31,0,0,0,0.6967341842615273,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
1,0,0,0,7,246,41,23,0,0,0,0.6983545001231295,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
0,0,1,0,7,179,38,31,0,0,0,0.7599462261671218,1
1,0,0,0,7,189,33,25,0,2,2,0.696325004087886,1
0,0,0,1,8,248,47,32,0,2,1,0.43870680160231385,0
1,0,0,0,8,330,28,25,1,0,0,0.868024210584532,1
1,0,0,0,8,179,38,31,0,0,0,0.6972281948027285,1
1,0,0,0,8,361,28,27,0,1,4,0.8738812853642679,1
0,0,0,1,8,260,36,23,0,4,0,0.6069694003295922,1
0,0,1,0,8,289,33,30,0,2,1,0.9352139801414704,1
0,0,0,1,8,361,28,27,0,1,4,0.49331748256713026,0
0,0,0,1,8,289,33,30,0,2,1,0.5954741918868335,1
0,0,0,1,8,157,29,22,0,0,0,0.1543903839931079,0
0,0,1,0,8,289,33,30,0,2,1,0.9352139801414704,1
0,0,0,1,8,179,38,31,0,0,0,0.24447141876258296,0
